examId;userId;submitTime;pointsTotal;pointsEx1;pointsEx2;pointsEx3;pointsEx4;pointsEx5;pointsEx6;pointsEx7;pointsEx8;pointsEx9;pointsEx10;;
exam-114;@maxPoints;;10;1;1;1;1;1;1;1;1;1;1;;
exam-114;stprecalc-1;2017-01-22T16:20:12;7;1;1;1;1;0;1;0;0;1;1;;70%
exam-114;stprecalc-2;2017-01-22T16:22:57;8;1;1;1;1;0;1;0;1;1;1;;80%
exam-114;stprecalc-3;2017-01-22T16:29:08;8;1;0;1;1;1;1;1;0;1;1;;80%
exam-114;stprecalc-4;2017-01-22T16:35:02;6;1;1;0;1;0;1;0;0;1;1;;60%
exam-114;stprecalc-5;2017-01-22T19:34:01;9;1;1;1;1;1;1;1;0;1;1;;90%
exam-114;stprecalc-6;2017-01-22T19:36:46;8;1;0;1;1;0;1;1;1;1;1;;80%
exam-114;stprecalc-7;2017-01-22T19:40:24;7;1;1;0;1;1;1;0;0;1;1;;70%
exam-114;stprecalc-8;2017-01-22T19:53:54;10;1;1;1;1;1;1;1;1;1;1;;100%
exam-114;stprecalc-9;2017-01-22T20:12:17;5;1;0;0;1;0;1;0;0;1;1;;50%
exam-114;stprecalc-10;2017-01-22T20:18:14;7;1;0;1;1;0;1;0;1;1;1;;70%
exam-114;stprecalc-11;2017-01-22T20:20:39;9;1;1;1;1;0;1;1;1;1;1;;90%
exam-114;stprecalc-12;2017-01-22T20:24:09;5;1;0;0;1;0;1;0;0;1;1;;50%
exam-114;stprecalc-13;2017-01-22T20:27:03;7;1;1;0;1;1;1;0;0;1;1;;70%
exam-114;stprecalc-14;2017-01-22T20:29:44;9;1;1;1;1;1;1;0;1;1;1;;90%
exam-114;stprecalc-15;2017-01-22T16:20:12;7;1;0;1;1;0;1;1;0;1;1;;70%
exam-114;stprecalc-16;2017-01-22T16:22:57;6;1;1;0;1;0;1;0;0;1;1;;60%
exam-114;stprecalc-17;2017-01-22T16:29:08;8;1;0;1;1;1;1;0;1;1;1;;80%
exam-114;stprecalc-18;2017-01-22T16:35:02;8;1;1;0;1;1;1;1;0;1;1;;80%
exam-114;stprecalc-19;2017-01-22T19:34:01;8;1;0;1;1;1;1;1;0;1;1;;80%
exam-114;stprecalc-20;2017-01-22T19:36:46;10;1;1;1;1;1;1;1;1;1;1;;100%
exam-114;stprecalc-21;2017-01-22T19:40:24;7;1;0;1;1;1;1;0;0;1;1;;70%
exam-114;stprecalc-22;2017-01-22T19:53:54;8;1;1;1;1;0;1;1;0;1;1;;80%
exam-114;stprecalc-23;2017-01-22T20:12:17;6;1;0;0;1;0;1;0;1;1;1;;60%
exam-114;stprecalc-24;2017-01-22T20:18:14;6;1;0;1;1;0;1;0;0;1;1;;60%
exam-114;stprecalc-25;2017-01-22T20:20:39;7;1;0;1;1;0;1;0;1;1;1;;70%
exam-114;stprecalc-26;2017-01-22T20:24:09;9;1;1;1;1;0;1;1;1;1;1;;90%
exam-114;stprecalc-27;2017-01-22T20:27:03;9;1;1;1;1;1;1;0;1;1;1;;90%
exam-114;stprecalc-28;2017-01-22T20:29:44;8;1;1;0;1;0;1;1;1;1;1;;80%
